GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-booking-system,com.parkingbookingsystem,Visitor,0,9,0,0,0,3,0,2,0,2
parking-booking-system,com.parkingbookingsystem,Database,88,97,7,5,23,25,8,10,4,8
parking-booking-system,com.parkingbookingsystem,ParkingSpace,91,157,14,0,13,48,12,18,5,18
parking-booking-system,com.parkingbookingsystem,User,58,92,15,7,4,27,11,14,1,13
parking-booking-system,com.parkingbookingsystem,Client,2,59,1,3,0,11,1,7,0,6
parking-booking-system,com.parkingbookingsystem,EtransferStrategy,0,5,0,0,0,2,0,2,0,2
parking-booking-system,com.parkingbookingsystem,Sensor,0,35,0,0,0,12,0,7,0,7
parking-booking-system,com.parkingbookingsystem,Manager,0,6,0,0,0,2,0,1,0,1
parking-booking-system,com.parkingbookingsystem,Payment,122,170,17,3,10,51,13,18,3,18
parking-booking-system,com.parkingbookingsystem,Controller,793,516,81,39,154,101,52,35,4,23
parking-booking-system,com.parkingbookingsystem,CreditCardStrategy,0,5,0,0,0,2,0,2,0,2
parking-booking-system,com.parkingbookingsystem,Student,0,9,0,0,0,3,0,2,0,2
parking-booking-system,com.parkingbookingsystem,Faculty,0,9,0,0,0,3,0,2,0,2
parking-booking-system,com.parkingbookingsystem,ParkingSpace.ParkingStatus,0,27,0,0,0,1,0,1,0,1
parking-booking-system,com.parkingbookingsystem,Staff,0,9,0,0,0,3,0,2,0,2
parking-booking-system,com.parkingbookingsystem,ParkingSystemGUI,3838,0,101,0,884,0,109,0,56,0
parking-booking-system,com.parkingbookingsystem,Booking,367,207,32,2,55,81,22,37,6,36
parking-booking-system,com.parkingbookingsystem,PaymentProcessorProxy,5,8,0,0,1,2,1,1,1,1
parking-booking-system,com.parkingbookingsystem,RealPaymentProcessor,31,6,4,0,7,2,4,1,1,1
parking-booking-system,com.parkingbookingsystem,SuperManager,0,16,0,2,0,5,0,3,0,2
parking-booking-system,com.parkingbookingsystem,ParkingLot,38,272,10,18,3,55,9,24,1,18
parking-booking-system,com.parkingbookingsystem,DebitCardStrategy,0,5,0,0,0,2,0,2,0,2
parking-booking-system,com.parkingbookingsystem,UserFactory,24,81,4,9,4,15,5,7,1,2
parking-booking-system,com.parkingbookingsystem.commands,GetUserCommand,0,15,0,0,0,5,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,Result,3,14,0,0,1,6,1,4,1,4
parking-booking-system,com.parkingbookingsystem.commands,BookParkingSpaceCommand,17,24,0,0,2,9,1,1,1,1
parking-booking-system,com.parkingbookingsystem.commands,AddPaymentCommand,11,15,0,0,2,6,1,1,1,1
parking-booking-system,com.parkingbookingsystem.commands,DeleteUserCommand,7,9,0,0,2,4,1,1,1,1
parking-booking-system,com.parkingbookingsystem.commands,CreateUserCommand,24,15,0,0,6,6,1,1,1,1
parking-booking-system,com.parkingbookingsystem.commands,GetParkingLotListCommand,10,0,0,0,4,0,2,0,2,0
parking-booking-system,com.parkingbookingsystem.commands,CancelParkingSpaceBookingCommand,0,26,0,0,0,8,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,Invoker,8,3,0,0,3,1,2,1,2,1
parking-booking-system,com.parkingbookingsystem.commands,GetBookingByIdCommand,6,9,0,0,1,4,1,1,1,1
parking-booking-system,com.parkingbookingsystem.commands,GetUnvalidatedClientsCommand,0,10,0,0,0,4,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,GenerateManagerCommand,14,10,0,0,5,4,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,GetParkingLotByIdCommand,6,9,0,0,1,4,1,1,1,1
parking-booking-system,com.parkingbookingsystem.commands,ModifyParkingSpaceBookingCommand,0,46,0,0,0,12,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,GetBookingsForUserCommand,0,15,0,0,0,5,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,GetAvailableParkingSpaceListCommand,0,10,0,0,0,4,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,CheckInToBookingCommand,7,9,0,0,2,4,1,1,1,1
parking-booking-system,com.parkingbookingsystem.commands,ValidateUserCommand,0,16,0,0,0,6,0,2,0,2
parking-booking-system,com.parkingbookingsystem.commands,CreateParkingLotCommand,11,16,0,0,4,6,0,2,0,2
